TITLE     = "Time Series Plot"
VARIABLES = "Solution Time"
"P[psf]"
ZONE T="Time Series Plot Zone"
 STRANDID=0, SOLUTIONTIME=0
 I=18000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.700000070E-02 -6.390024424E-01
 2.704166621E-02 -6.390031576E-01
 2.708333358E-02 -6.390022039E-01
 2.712499909E-02 -6.390031576E-01
 2.716666646E-02 -6.390023232E-01
 2.720833384E-02 -6.390034556E-01
 2.724999934E-02 -6.390030384E-01
 2.729166672E-02 -6.390044093E-01
 2.733333409E-02 -6.390039921E-01
 2.737499960E-02 -6.390050650E-01
 2.741666697E-02 -6.390044689E-01
 2.745833248E-02 -6.390055418E-01
 2.749999985E-02 -6.390048265E-01
 2.754166722E-02 -6.390058398E-01
 2.758333273E-02 -6.390050650E-01
 2.762500010E-02 -6.390060186E-01
 2.766666748E-02 -6.390051842E-01
